"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1979-09-10","0.08","75","81","70"
"BRM00082900","RECIFE, BR","1979-09-11","0.00","75","79","70"
"BRM00082900","RECIFE, BR","1979-09-12","0.00","75","81","70"
"BRM00082900","RECIFE, BR","1979-09-14","0.00","77","82","73"
"BRM00082900","RECIFE, BR","1979-09-15","0.08","77","82","70"
"BRM00082900","RECIFE, BR","1979-09-16","0.87","77","82","70"
"BRM00082900","RECIFE, BR","1979-09-17","0.00","78","84","73"
"BRM00082900","RECIFE, BR","1979-09-18","0.04","78","84","73"
"BRM00082900","RECIFE, BR","1979-09-19","0.00","78","82","70"
"BRM00082900","RECIFE, BR","1979-09-20","0.00","78","82","68"
"BRM00082900","RECIFE, BR","1979-09-21","0.00","78","84",
"BRM00082900","RECIFE, BR","1979-09-22","0.00","79","84","73"
"BRM00082900","RECIFE, BR","1979-09-23","0.00","78","82","72"
"BRM00082900","RECIFE, BR","1979-09-24","0.04","79","84","75"
"BRM00082900","RECIFE, BR","1979-09-25","0.00","79","84","75"
"BRM00082900","RECIFE, BR","1979-09-26","0.12","78","84","73"
"BRM00082900","RECIFE, BR","1979-09-27","0.00","77","82","68"
"BRM00082900","RECIFE, BR","1979-09-28","0.16","79","82","75"
"BRM00082900","RECIFE, BR","1979-09-29","0.47","77","82","73"
"BRM00082900","RECIFE, BR","1979-09-30","0.20","79","82","73"
"BRM00082900","RECIFE, BR","1979-10-01","0.00","78","82","72"
"BRM00082900","RECIFE, BR","1979-10-02","0.31","77","84","72"
"BRM00082900","RECIFE, BR","1979-10-03","0.00","80","82","72"
"BRM00082900","RECIFE, BR","1979-10-04","0.00","80","84","77"
"BRM00082900","RECIFE, BR","1979-10-05","0.00","79","82","75"
"BRM00082900","RECIFE, BR","1979-10-09","0.02","78","84","72"
"BRM00082900","RECIFE, BR","1979-10-10","0.01","80","86","68"
"BRM00082900","RECIFE, BR","1979-10-11","0.00","80","84","75"
"BRM00082900","RECIFE, BR","1979-10-12","0.00","79","84","73"
"BRM00082900","RECIFE, BR","1979-10-13","0.00","77","84","66"
"BRM00082900","RECIFE, BR","1979-10-14","0.00","77","84","68"
"BRM00082900","RECIFE, BR","1979-10-15","0.04","80","86",
"BRM00082900","RECIFE, BR","1979-10-16","0.00","80","86","75"
"BRM00082900","RECIFE, BR","1979-10-17","0.00","80","84","72"
"BRM00082900","RECIFE, BR","1979-10-18","0.00","76","86","68"
"BRM00082900","RECIFE, BR","1979-10-19","0.12","77","86","70"
"BRM00082900","RECIFE, BR","1979-10-20","0.12","80","84","75"
"BRM00082900","RECIFE, BR","1979-10-21","0.00","79","84",
"BRM00082900","RECIFE, BR","1979-10-22","0.16","78","84","72"
"BRM00082900","RECIFE, BR","1979-10-23","0.04","78","84","72"
"BRM00082900","RECIFE, BR","1979-10-25","0.00","78",,"72"
"BRM00082900","RECIFE, BR","1979-10-26","0.08","79","84","73"
"BRM00082900","RECIFE, BR","1979-10-27","0.08","79","84","73"
"BRM00082900","RECIFE, BR","1979-10-28","0.00","77",,"68"
"BRM00082900","RECIFE, BR","1979-10-29","0.00","78","84","72"
"BRM00082900","RECIFE, BR","1979-10-30","0.04","81","86","72"
"BRM00082900","RECIFE, BR","1979-10-31","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-11-01","0.28","80","86","75"
"BRM00082900","RECIFE, BR","1979-11-02","0.00","80","84","77"
"BRM00082900","RECIFE, BR","1979-11-03","0.00","80","86","75"
"BRM00082900","RECIFE, BR","1979-11-05","0.00","78","86","68"
"BRM00082900","RECIFE, BR","1979-11-06","0.00","78","86","68"
"BRM00082900","RECIFE, BR","1979-11-07","0.00","80","86","75"
"BRM00082900","RECIFE, BR","1979-11-08","0.51","79","88","73"
"BRM00082900","RECIFE, BR","1979-11-09","0.16","79","84","72"
"BRM00082900","RECIFE, BR","1979-11-12","0.02","80","86","77"
